PLMN,Network
90127,Worldwide-OnMarine
24299,Norway-TampNet AS
36302,Aruba-Digicel
41240,Afghanistan-MTN
41201,Afghanistan-AWCC
41250,Afghanistan-Etisalat
41220,Afghanistan-Roshan
63102,Angola-UNITEL
365840,Anguilla (UK)-FLOW
27601,Albania-Telekom.al
27603,Albania-Eagle Mobile
27604,Albania-Plus Communication
27602,Albania-Vodafone
21303,Andorra-Mobiland
36269,Former Netherlands Antilles-Digicel
36251,Former Netherlands Antilles-Telcell
42403,United Arab Emirates-du
42402,United Arab Emirates-Etisalat
90105,Worldwide-Thuraya RMSS Network
722310,Argentina-Claro
28301,Armenia-Beeline
28305,Armenia-VivaCell-MTS
28310,Armenia-Ucom
344920,Antigua and Barbuda-FLOW
50502,Australia-Optus
50501,Australia-Telstra
50503,Australia-Vodafone
23205,Austria-3
23203,Austria-Magenta
23201,Austria-A1.net
40001,Azerbaijan-Azercell
40004,Azerbaijan-Nar Mobile
40002,Azerbaijan-Bakcell
64207,Burundi-Smart Mobile
64208,Burundi-Lumitel
20620,Belgium-Base
20610,Belgium-Orange Belgium
20601,Belgium-Proximus
61602,Benin-Moov
61302,Burkina Faso-Orange
47003,Bangladesh-Banglalink
47001,Bangladesh-Grameenphone
28401,Bulgaria-A1
28405,Bulgaria-Telenor
42605,Bahrain-Batelco
42601,Bahrain-Batelco
42602,Bahrain-zain BH
36439,Bahamas-BTC
36449,Bahamas-Aliv
21803,Bosnia and Herzegovina-HT-ERONET
21805,Bosnia and Herzegovina-m:tel BiH
21890,Bosnia and Herzegovina-BH Mobile
25702,Belarus-MTS
25701,Belarus-A1
70267,Belize-DigiCell
70269,Belize-SMART
90118,Worldwide-Cellular @Sea
73601,Bolivia-Viva
73603,Bolivia-Tigo
72416,Brazil-Brasil Telecom GSM
72434,Brazil-Algar Telecom
72405,Brazil-Claro
72404,Brazil-TIM
72402,Brazil-TIM
72403,Brazil-TIM
72423,Brazil-Vivo
72431,Brazil-Oi
72410,Brazil-Vivo
72406,Brazil-Vivo
72411,Brazil-Vivo
342600,Barbados-FLOW
52802,Brunei-PCSB
52811,Brunei-DST
65204,Botswana-beMobile
65201,Botswana-Mascom
62303,Central African Republic-Orange
